"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"A_684483",-4.2226,25.878,26.104,0.40847,-11.632,2.6142,1.5699,0.86546,-0.35547,-0.2629,-0.11064,2.1979e-15
"A__684487",-5.4916,17.779,-14.18,18.378,3.8998,-11.841,-3.0162,-1.2839,-0.15541,3.2059,1.1855,2.6836e-15
"A_684491",6.2061,17.691,-12.567,-21.918,7.0982,0.87955,-8.1513,3.0571,1.2532,-1.8622,0.024402,5.0177e-15
"A_684495",19.131,-10.948,3.9016,14.242,-0.36781,6.8403,-11.421,8.8159,-1.1276,-2.9383,-0.10227,1.9061e-15
"A_684499",16.869,-7.9565,18.083,-2.9444,14.763,-11.544,7.54,2.8863,2.3077,-0.26292,0.088332,-3.368e-15
"A_684503",8.0165,6.419,-9.1723,6.6005,7.9147,17.295,11.131,-3.0005,2.5837,0.45023,-0.13357,3.8467e-15
"D_684508",4.0079,-4.8678,-12.832,-3.8467,-10.022,-4.2204,10.028,4.8418,-8.6637,-3.0716,1.6531,1.5543e-15
"D_684512",11.181,-9.4163,-7.0298,-1.409,-14.181,-4.6562,0.25191,-5.2934,10.841,-1.577,0.029064,2.3466e-15
"D_684516",-21.136,-4.4693,-3.0963,1.5617,1.0446,-2.5427,0.60001,-0.82922,-1.7164,-1.8559,-6.2994,-3.9439e-15
"D_684520",-3.3552,-11.495,0.019107,-7.3385,-4.507,3.0964,-0.96986,5.431,-0.37261,9.9016,-0.30208,1.04e-15
"D_684524",11.033,-7.6054,6.0769,-2.9141,1.5286,1.1952,-5.8246,-15.571,-6.8758,0.67736,0.63655,1.347e-15
"D_684528",-42.239,-11.009,4.6927,-0.82076,4.4603,2.8831,-1.7378,0.080327,2.2812,-2.4043,3.3311,-1.1885e-14
